SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,saps_precinct_mapped,saps_precinct_name,saps_robbery_with_aggravating_circumstances_q1_2026,saps_robbery_with_aggravating_circumstances_trend,saps_burglary_at_residential_premises_q1_2026,saps_burglary_at_residential_premises_trend,saps_theft_of_motor_vehicle_and_motorcycle_q1_2026,saps_theft_of_motor_vehicle_and_motorcycle_trend,saps_carjacking_q1_2026,saps_carjacking_trend,saps_truck_hijacking_q1_2026,saps_truck_hijacking_trend
POLOKWANE CENTRAL,32,Theft,30,Theft:30; Burglary:2,August,Friday,2,873503.67,27296.99,0,0.2571428571428571,0.080455618418866,0.1688,False,,,,,,,,,,,
EMMARENTIA,14,Theft,12,Theft:12; Burglary:2,November,Tuesday,21,2642877.91,188776.99,0,0.0857142857142857,0.2505924948652271,0.1682,False,,,,,,,,,,,
CROYDON,22,Theft,18,Theft:18; Hijack:2; Armed Robbery:1; Burglary:1,March,Wednesday,15,1841283.32,83694.7,0,0.1619047619047619,0.1735139454912397,0.1677,False,,,,,,,,,,,
ATHOLL,8,Theft,8,Theft:8,February,Wednesday,14,3211538.91,401442.36,0,0.0285714285714285,0.3052729599187165,0.1669,False,,,,,,,,,,,
GLEN AUSTIN AH,21,Theft,18,Theft:18; Hijack:2; Burglary:1,January,Monday,3,1916010.5,91238.6,0,0.1523809523809524,0.1806994513629907,0.1665,False,,,,,,,,,,,
HENNOPSPARK,14,Theft,14,Theft:14,May,Wednesday,0,2593037.57,185216.97,0,0.0857142857142857,0.2458000210194314,0.1658,False,,,,,,,,,,,
BRAKPAN,22,Theft,21,Theft:21; Accidental Damage:1,August,Friday,11,1783317.51,81059.89,0,0.1619047619047619,0.1679401546949618,0.1649,False,,,,,,,,,,,
BULWER,23,Theft,15,Theft:15; Hijack:3; Armed Robbery:2; Stolen and recovered:2; Windscreen/ Motor glass damage:1,July,Monday,4,1684736.34,80225.54,2,0.1714285714285714,0.1584609320629946,0.1649,False,,,,,,,,,,,
BELLVILLE,26,Theft,22,Theft:22; Burglary:2; Remote jamming:1; Armed Robbery:1,February,Friday,10,1319967.26,50767.97,0,0.2,0.1233860052937358,0.1617,False,,,,,,,,,,,
FARRARMERE,19,Theft,19,Theft:19,February,Wednesday,16,1971851.83,103781.68,0,0.1333333333333333,0.1860689595473138,0.1597,False,,,,,,,,,,,
LENASIA,25,Theft,21,Theft:21; Hijack:4,December,Friday,13,1359536.5,54381.46,0,0.1904761904761904,0.1271908458666134,0.1588,False,,,,,,,,,,,
MALVERN,15,Theft,12,Theft:12; Hijack:3,March,Wednesday,16,2340835.86,156055.72,0,0.0952380952380952,0.2215491812571034,0.1584,False,,,,,,,,,,,
BLOEMFONTEIN,29,Theft,26,Theft:26; Remote jamming:1; Armed Robbery:1; Burglary:1,April,Monday,18,950049.48,32760.33,0,0.2285714285714285,0.0878159974297284,0.1582,False,,,,,,,,,,,
MEYERTON,19,Theft,18,Theft:18; Hijack:1,July,Tuesday,3,1939103.87,102058.1,0,0.1333333333333333,0.1829200295479767,0.1581,False,,,,,,,,,,,
MARLBORO,16,Hijack,10,Hijack:10; Theft:5; Armed Robbery:1,October,Wednesday,7,2229363.46,148624.23,1,0.1047619047619047,0.2108303827591783,0.1578,False,,,,,,,,,,,
PLETTENBERG BAY,28,Theft,28,Theft:28,September,Saturday,8,1024445.42,36587.34,0,0.219047619047619,0.0949696524144934,0.157,False,,,,,,,,,,,
RANDPARK,27,Theft,23,Theft:23; Stolen and recovered:2; Armed Robbery:1; Hijack:1,April,Wednesday,0,1101139.53,40782.95,0,0.2095238095238095,0.1023442914378544,0.1559,False,,,,,,,,,,,
HENLEY ON KLIP,24,Theft,23,Theft:23; Burglary:1,July,Friday,0,1382443.81,60106.25,1,0.1809523809523809,0.1293935331687573,0.1552,False,,,,,,,,,,,
THE REEDS,26,Theft,26,Theft:26,June,Tuesday,5,1171928.4,45074.17,0,0.2,0.109151103109854,0.1546,False,,,,,,,,,,,
MOWBRAY,28,Theft,26,Theft:26; Hijack:1; Armed Robbery:1,December,Saturday,2,969283.16,35899.38,1,0.219047619047619,0.0896654412408742,0.1544,False,,,,,,,,,,,
UMHLANGA,22,Theft,21,Theft:21; Burglary:1,September,Wednesday,18,1563973.41,71089.7,0,0.1619047619047619,0.1468487884948195,0.1544,False,,,,,,,,,,,
ROODEKRANS,18,Theft,18,Theft:18,December,Saturday,15,1938992.2,107721.79,0,0.1238095238095238,0.1829092917489496,0.1534,False,,,,,,,,,,,
EAST LONDON,24,Theft,23,Theft:23; Hijack:1,August,Saturday,17,1310725.39,54613.56,0,0.1809523809523809,0.1224973391999402,0.1517,False,,,,,,,,,,,
QUEENSWOOD,18,Theft,18,Theft:18,October,Thursday,16,1866906.5,103717.03,0,0.1238095238095238,0.1759777814120242,0.1499,False,,,,,,,,,,,
WINDERMERE,19,Theft,19,Theft:19,March,Saturday,18,1767831.92,93043.79,0,0.1333333333333333,0.1664511141895857,0.1499,False,,,,,,,,,,,
PORT ELIZABETH CENTRAL,31,Theft,28,Theft:28; Armed Robbery:2; Hijack:1,October,Friday,15,579660.17,19322.01,1,0.2476190476190476,0.0522006488799931,0.1499,False,,,,,,,,,,,
LAKEFIELD,7,Theft,6,Theft:6; Armed Robbery:1,August,Friday,20,2956924.96,422417.85,0,0.019047619047619,0.280790167543108,0.1499,False,,,,,,,,,,,
PARKTOWN NORTH,17,Theft,15,Theft:15; Stolen and recovered:1; Burglary:1,December,Monday,12,1943362.72,114315.45,0,0.1142857142857142,0.1833295457599079,0.1488,False,,,,,,,,,,,
PRIMROSE,18,Theft,18,Theft:18,October,Friday,11,1783962.55,99109.03,0,0.1238095238095238,0.1680021794991563,0.1459,False,,,,,,,,,,,
BENDOR PARK,23,Theft,23,Theft:23,October,Wednesday,2,1272087.06,55308.13,0,0.1714285714285714,0.1187820116967526,0.1451,False,,,,,,,,,,,
PARKMORE,14,Theft,11,Theft:11; Malicious Damage:2; Armed Robbery:1,January,Friday,13,2137880.12,152705.72,0,0.0857142857142857,0.2020336627874439,0.1439,False,,,,,,,,,,,
SILVERTON,19,Theft,16,Theft:16; Burglary:2; Hijack:1,October,Wednesday,0,1619650.88,85244.78,0,0.1333333333333333,0.1522025404711318,0.1428,False,,,,,,,,,,,
WILGEHEUWEL,20,Theft,19,Theft:19; Hijack:1,August,Sunday,15,1470377.41,73518.87,0,0.1428571428571428,0.1378489224812431,0.1404,False,,,,,,,,,,,
VERULAM,23,Theft,23,Theft:23,January,Friday,14,1170330.17,50883.92,0,0.1714285714285714,0.1089974228686164,0.1402,False,,,,,,,,,,,
SIMON'S TOWN,11,Theft,11,Theft:11,March,Saturday,0,2358176.22,214379.66,0,0.0571428571428571,0.2232165699983656,0.1402,False,,,,,,,,,,,
LOMBARDY EAST,15,Hijack,8,Hijack:8; Theft:6; Stolen and recovered:1,October,Tuesday,13,1943029.82,129535.32,0,0.0952380952380952,0.1832975352530923,0.1393,False,,,,,,,,,,,
FLORIDA PARK,15,Theft,14,Theft:14; Burglary:1,December,Sunday,22,1916410.25,127760.68,0,0.0952380952380952,0.1807378899334309,0.138,False,,,,,,,,,,,
NORTH BEACH,13,Theft,13,Theft:13,September,Saturday,17,2065298.43,158869.11,0,0.0761904761904762,0.1950544597762153,0.1356,False,,,,,,,,,,,
BRITS,28,Theft,27,Theft:27; Remote jamming:1,April,Saturday,4,532079.67,19002.85,0,0.219047619047619,0.0476254733932311,0.1333,False,,,,,,,,,,,
HURLINGHAM,20,Theft,20,Theft:20,July,Saturday,2,1311568.37,65578.42,0,0.1428571428571428,0.1225783972264812,0.1327,False,,,,,,,,,,,
WINGATE PARK,22,Theft,20,Theft:20; Burglary:1; Armed Robbery:1,February,Monday,3,1087770.18,49444.1,0,0.1619047619047619,0.101058741214676,0.1315,False,,,,,,,,,,,
RUIMSIG,12,Theft,11,Theft:11; Armed Robbery:1,July,Sunday,11,2071673.98,172639.5,0,0.0666666666666666,0.1956675105023453,0.1312,False,,,,,,,,,,,
SINOVILLE,19,Theft,19,Theft:19,May,Sunday,1,1348958.15,70997.8,0,0.1333333333333333,0.1261736685017183,0.1298,False,,,,,,,,,,,
SUNNYSIDE,18,Theft,14,Theft:14; Hijack:4,September,Monday,0,1434830.65,79712.81,0,0.1238095238095238,0.1344308696027359,0.1291,False,,,,,,,,,,,
SUNNINGDALE,24,Theft,24,Theft:24,February,Thursday,2,818427.51,34101.15,0,0.1809523809523809,0.0751596863219569,0.1281,False,,,,,,,,,,,
MAYFAIR WEST,12,Theft,11,Theft:11; Hijack:1,November,Saturday,16,1984015.02,165334.58,0,0.0666666666666666,0.1872385296175911,0.127,False,,,,,,,,,,,
FLORIDA,16,Theft,16,Theft:16,January,Friday,15,1585839.24,99114.95,0,0.1047619047619047,0.1489513307004228,0.1269,False,,,,,,,,,,,
NASREC,11,Theft,9,Theft:9; Hijack:2,April,Saturday,23,2076677.38,188788.85,0,0.0571428571428571,0.1961486200541672,0.1266,False,,,,,,,,,,,
PARKRAND,14,Theft,14,Theft:14,November,Saturday,0,1742813.91,124486.71,0,0.0857142857142857,0.1640454693123867,0.1249,False,,,,,,,,,,,
COLBYN,7,Theft,5,Theft:5; Armed Robbery:2,April,Saturday,17,2431122.66,347303.24,0,0.019047619047619,0.2302308461016969,0.1246,False,,,,,,,,,,,
SUMMERSTRAND,21,Theft,20,Theft:20; Burglary:1,May,Tuesday,20,1037374.45,49398.78,0,0.1523809523809524,0.0962128629970558,0.1243,False,,,,,,,,,,,
MORNINGSIDE MANOR,14,Theft,12,Theft:12; Hijack:1; Burglary:1,August,Friday,15,1700845.78,121488.98,0,0.0857142857142857,0.1600099598158232,0.1229,False,,,,,,,,,,,
RANDHART,15,Theft,15,Theft:15,January,Monday,13,1589941.27,105996.08,0,0.0952380952380952,0.1493457676462717,0.1223,False,,,,,,,,,,,
SASOLBURG,17,Theft,16,Theft:16; Burglary:1,November,Wednesday,0,1384094.81,81417.34,0,0.1142857142857142,0.1295522875897626,0.1219,False,,,,,,,,,,,
BROMHOF,18,Theft,18,Theft:18,April,Friday,14,1279669.52,71092.75,0,0.1238095238095238,0.1195111146931766,0.1217,False,,,,,,,,,,,
GROOTFONTEIN COUNTRY ESTATES,16,Theft,16,Theft:16,November,Saturday,2,1474461.91,92153.87,0,0.1047619047619047,0.1382416738032275,0.1215,False,,,,,,,,,,,
LYNNWOOD GLEN,13,Theft,11,Theft:11; Burglary:1; Armed Robbery:1,January,Tuesday,11,1771135.63,136241.2,0,0.0761904761904762,0.1667687874592522,0.1215,False,,,,,,,,,,,
KYALAMI ESTATE,9,Theft,7,Theft:7; Hijack:2,November,Saturday,14,2165497.9,240610.88,0,0.0380952380952381,0.2046892925108554,0.1214,False,,,,,,,,,,,
NORTH RIDING,19,Theft,18,Theft:18; Armed Robbery:1,September,Saturday,0,1173404.03,61758.11,0,0.1333333333333333,0.1092929945612581,0.1213,False,,,,,,,,,,,
FOCHVILLE,12,Theft,11,Theft:11; Hijack:1,April,Saturday,16,1864592.68,155382.72,0,0.0666666666666666,0.1757552925238289,0.1212,False,,,,,,,,,,,
WESTCLIFF,16,Theft,16,Theft:16,April,Saturday,18,1438240.4,89890.02,0,0.1047619047619047,0.1347587393101998,0.1198,False,,,,,,,,,,,
PRETORIUSPARK,7,Theft,7,Theft:7,May,Saturday,12,2297047.63,328149.66,0,0.019047619047619,0.2173386572713383,0.1182,False,,,,,,,,,,,
LITTLE FALLS,18,Theft,16,Theft:16; Burglary:1; Armed Robbery:1,January,Friday,13,1205032.9,66946.27,0,0.1238095238095238,0.1123343167562325,0.1181,False,,,,,,,,,,,
FISH HOEK,19,Theft,19,Theft:19,January,Monday,8,1100223.4,57906.49,0,0.1333333333333333,0.1022561995615881,0.1178,False,,,,,,,,,,,
MAGALIESSIG,8,Theft,8,Theft:8,July,Thursday,14,2169716.25,271214.53,0,0.0285714285714285,0.2050949143835676,0.1168,False,,,,,,,,,,,
ALBERTON,21,Theft,21,Theft:21,December,Saturday,10,876781.89,41751.52,0,0.1523809523809524,0.0807708406587376,0.1166,False,,,,,,,,,,,
GORDONS BAY,19,Theft,19,Theft:19,October,Friday,4,1042026.2,54843.48,0,0.1333333333333333,0.0966601591072385,0.115,False,,,,,,,,,,,
GREENSTONE HILL,12,Theft,9,Theft:9; Hijack:3,April,Saturday,1,1728844.02,144070.34,0,0.0666666666666666,0.1627021732503285,0.1147,False,,,,,,,,,,,
LANGEBAAN,19,Theft,17,Theft:17; Armed Robbery:2,October,Saturday,0,1028066.14,54108.74,0,0.1333333333333333,0.0953178082638105,0.1143,False,,,,,,,,,,,
ROODEPLAAT,13,Theft,13,Theft:13,October,Friday,0,1598385.83,122952.76,0,0.0761904761904762,0.1501577671819741,0.1132,False,,,,,,,,,,,
UMHLANGA RIDGE,9,Theft,9,Theft:9,September,Wednesday,15,1986361.48,220706.83,0,0.0380952380952381,0.1874641570547275,0.1128,False,,,,,,,,,,,
SILVERGLEN,10,Theft,7,Theft:7; Armed Robbery:2; Stolen and recovered:1,January,Saturday,16,1876682.45,187668.25,0,0.0476190476190476,0.1769178027821193,0.1123,False,,,,,,,,,,,
WATERVAL CITY,5,Theft,5,Theft:5,July,Wednesday,9,2370878.48,474175.7,0,0.0,0.2244379751659968,0.1122,False,,,,,,,,,,,
KRUGERSDORP NORTH,13,Theft,13,Theft:13,February,Tuesday,22,1536437.46,118187.5,0,0.0761904761904762,0.144201027259761,0.1102,False,,,,,,,,,,,
SHEFFIELD BEACH,5,Theft,5,Theft:5,February,Friday,13,2326245.01,465249.0,0,0.0,0.2201461758399467,0.1101,False,,,,,,,,,,,
UMHLANGA ROCKS,15,Theft,15,Theft:15,November,Sunday,4,1332432.47,88828.83,0,0.0952380952380952,0.1245846165573699,0.1099,False,,,,,,,,,,,
GONUBIE,22,Theft,22,Theft:22,November,Monday,4,622528.73,28296.76,0,0.1619047619047619,0.0563227405953972,0.1091,False,,,,,,,,,,,
IRENE,8,Theft,8,Theft:8,August,Sunday,16,2006598.07,250824.76,0,0.0285714285714285,0.1894100372052861,0.109,False,,,,,,,,,,,
KARENPARK,8,Theft,8,Theft:8,October,Tuesday,11,1997404.17,249675.52,0,0.0285714285714285,0.1885259837399433,0.1085,False,,,,,,,,,,,
GEORGE,21,Theft,21,Theft:21,August,Friday,0,701606.4,33409.83,0,0.1523809523809524,0.0639265744629323,0.1082,False,,,,,,,,,,,
HARTEBEESPOORT,17,Theft,17,Theft:17,December,Saturday,23,1092951.87,64291.29,0,0.1142857142857142,0.1015569945131491,0.1079,False,,,,,,,,,,,
DOORNPOORT,18,Theft,17,Theft:17; Stolen and recovered:1,October,Sunday,11,977822.35,54323.46,0,0.1238095238095238,0.090486540068436,0.1071,False,,,,,,,,,,,
BUCCLEUCH,15,Theft,12,Theft:12; Hijack:3,November,Friday,0,1272893.07,84859.54,0,0.0952380952380952,0.1188595148166039,0.107,False,,,,,,,,,,,
SYDENHAM,19,Theft,19,Theft:19,September,Tuesday,11,862318.99,45385.21,0,0.1333333333333333,0.0793801384688176,0.1064,False,,,,,,,,,,,
MONAVONI,8,Theft,6,Theft:6; Hijack:2,August,Wednesday,3,1945881.34,243235.17,0,0.0285714285714285,0.1835717275042038,0.1061,False,,,,,,,,,,,
KIBLER PARK,12,Theft,9,Theft:9; Hijack:3,March,Monday,14,1533162.09,127763.51,0,0.0666666666666666,0.1438860790659826,0.1053,False,,,,,,,,,,,
RIVONIA,13,Theft,13,Theft:13,December,Wednesday,8,1432928.22,110225.25,0,0.0761904761904762,0.1342479385469194,0.1052,False,,,,,,,,,,,
ORANGE GROVE,13,Theft,12,Theft:12; Burglary:1,September,Tuesday,12,1406400.2,108184.63,0,0.0761904761904762,0.1316970963570237,0.1039,False,,,,,,,,,,,
CLUBVIEW,13,Theft,13,Theft:13,December,Saturday,15,1405242.72,108095.59,0,0.0761904761904762,0.1315857971037074,0.1039,False,,,,,,,,,,,
EQUESTRIA,15,Theft,12,Theft:12; Armed Robbery:3,January,Wednesday,14,1204411.69,86029.41,1,0.0952380952380952,0.1122745833620031,0.1038,False,,,,,,,,,,,
KENMARE,10,Theft,10,Theft:10,November,Wednesday,8,1697511.1,169751.11,0,0.0476190476190476,0.1596893085786106,0.1037,False,,,,,,,,,,,
PRETORIA,21,Theft,20,Theft:20; Armed Robbery:1,April,Thursday,11,598463.58,28498.27,0,0.1523809523809524,0.0540087194235884,0.1032,False,,,,,,,,,,,
BEYERS PARK,12,Theft,12,Theft:12,June,Tuesday,3,1485777.8,123814.82,0,0.0666666666666666,0.1393297704507805,0.103,False,,,,,,,,,,,
PANORAMA,19,Theft,15,Theft:15; Burglary:2; Armed Robbery:2,October,Monday,4,772084.9,40636.05,0,0.1333333333333333,0.0707035420346003,0.102,False,,,,,,,,,,,
TOKAI,19,Theft,17,Theft:17; Armed Robbery:2,June,Tuesday,3,748955.02,39418.69,0,0.1333333333333333,0.0684794531749258,0.1009,False,,,,,,,,,,,
ALEXANDRA,14,Hijack,8,Hijack:8; Theft:4; Armed Robbery:2,November,Monday,18,1242486.6,103540.55,2,0.0857142857142857,0.1159357343564792,0.1008,False,,,,,,,,,,,
HAVENSIDE,9,Theft,7,Theft:7; Hijack:2,December,Thursday,14,1733055.44,192561.72,0,0.0380952380952381,0.1631071287583299,0.1006,False,,,,,,,,,,,
AMANZIMTOTI,22,Theft,22,Theft:22,August,Saturday,0,438913.63,19950.62,0,0.1619047619047619,0.0386669508386828,0.1003,False,,,,,,,,,,,
PROTEA PARK,15,Theft,15,Theft:15,December,Sunday,7,1126294.67,75086.31,0,0.0952380952380952,0.1047631222591796,0.1,False,,,,,,,,,,,
MIDSTREAM ESTATE,13,Theft,11,Theft:11; Hijack:2,September,Thursday,15,1317579.33,101352.26,0,0.0761904761904762,0.1231563902455522,0.0997,False,,,,,,,,,,,
CRAIGHALL,13,Theft,11,Theft:11; Burglary:1; Attempted Theft:1,September,Saturday,7,1316532.06,101271.7,0,0.0761904761904762,0.1230556884027379,0.0996,False,,,,,,,,,,,
LYME PARK,10,Theft,10,Theft:10,December,Wednesday,0,1598495.88,159849.59,0,0.0476190476190476,0.1501683492074324,0.0989,False,,,,,,,,,,,
ASHLEA GARDENS,7,Theft,6,Theft:6; Burglary:1,May,Saturday,22,1894343.21,270620.46,0,0.019047619047619,0.1786160000736482,0.0988,False,,,,,,,,,,,
POMONA,12,Theft,11,Theft:11; Hijack:1,May,Thursday,7,1397079.33,116423.28,0,0.0666666666666666,0.1308008338978378,0.0987,False,,,,,,,,,,,
MONUMENT,13,Theft,12,Theft:12; Burglary:1,February,Tuesday,7,1296043.25,99695.63,0,0.0761904761904762,0.1210855556537142,0.0986,False,,,,,,,,,,,
NORWOOD,16,Theft,16,Theft:16,August,Tuesday,18,995577.24,62223.58,0,0.1047619047619047,0.0921937885735621,0.0985,False,,,,,,,,,,,
BONAERO PARK,16,Theft,16,Theft:16,December,Thursday,13,995767.65,62235.48,0,0.1047619047619047,0.0922120977372833,0.0985,False,,,,,,,,,,,
HOUT BAY,20,Theft,19,Theft:19; Malicious Damage:1,November,Saturday,18,589582.14,29479.11,0,0.1428571428571428,0.0531547110257122,0.098,False,,,,,,,,,,,
WOODHURST,14,Theft,12,Theft:12; Burglary:2,October,Thursday,15,1165067.5,83219.11,0,0.0857142857142857,0.1084913828148356,0.0971,False,,,,,,,,,,,
DORINGKLOOF,10,Theft,9,Theft:9; Burglary:1,October,Monday,9,1550900.9,155090.09,0,0.0476190476190476,0.1455917813742039,0.0966,False,,,,,,,,,,,
KHAYELITSHA,12,Theft,10,Theft:10; Hijack:1; Armed Robbery:1,December,Friday,4,1337243.67,121567.61,1,0.0666666666666666,0.1250472448252929,0.0959,False,,,,,,,,,,,
HONEYDEW,15,Theft,13,Theft:13; Armed Robbery:1; Hijack:1,January,Saturday,13,1041188.23,69412.55,0,0.0952380952380952,0.0965795828248824,0.0959,False,,,,,,,,,,,
BOTHASIG,16,Theft,14,Theft:14; Hijack:1; Burglary:1,July,Saturday,0,927801.52,57987.6,0,0.1047619047619047,0.0856767109316365,0.0952,False,,,,,,,,,,,
SAFARI TUINE,10,Theft,10,Theft:10,August,Saturday,12,1516463.65,151646.36,0,0.0476190476190476,0.1422804151205602,0.0949,False,,,,,,,,,,,
EDGEMEAD,20,Theft,19,Theft:19; Burglary:1,January,Wednesday,15,524714.25,26235.71,0,0.1428571428571428,0.0469172402087605,0.0949,False,,,,,,,,,,,
GOODWOOD ESTATE,20,Theft,19,Theft:19; Burglary:1,May,Tuesday,6,522380.83,26119.04,0,0.1428571428571428,0.0466928666526961,0.0948,False,,,,,,,,,,,
MOSSEL BAY,18,Theft,18,Theft:18,December,Sunday,0,717796.83,39877.6,0,0.1238095238095238,0.0654833899326338,0.0946,False,,,,,,,,,,,
KELVIN,18,Theft,13,Theft:13; Hijack:4; Armed Robbery:1,September,Sunday,17,707721.22,39317.85,0,0.1238095238095238,0.0645145542985784,0.0942,False,,,,,,,,,,,
ISIPINGO BEACH,6,Theft,4,Theft:4; Flood:1; Hijack:1,March,Sunday,13,1895767.53,315961.26,0,0.0095238095238095,0.1787529577338095,0.0941,False,,,,,,,,,,,
FRESNAYE,10,Theft,10,Theft:10,January,Wednesday,9,1497175.57,149717.56,0,0.0476190476190476,0.1404257403945127,0.094,False,,,,,,,,,,,
MEYERSPARK,13,Theft,12,Theft:12; Hijack:1,August,Friday,13,1189573.43,91505.65,0,0.0761904761904762,0.1108477878592615,0.0935,False,,,,,,,,,,,
RIVERCLUB,11,Theft,10,Theft:10; Armed Robbery:1,December,Tuesday,12,1376629.07,125148.1,0,0.0571428571428571,0.1288344079828115,0.093,False,,,,,,,,,,,
KRAAIFONTEIN,21,Theft,21,Theft:21,February,Saturday,13,378767.32,18036.54,0,0.1523809523809524,0.0328834907419796,0.0926,False,,,,,,,,,,,
DAVEYTON,13,Hijack,7,Hijack:7; Theft:6,February,Friday,20,1171359.22,90104.56,0,0.0761904761904762,0.1090963727395646,0.0926,False,,,,,,,,,,,
GREENHILLS,16,Theft,16,Theft:16,May,Thursday,0,870588.83,54411.8,0,0.1047619047619047,0.0801753375366593,0.0925,False,,,,,,,,,,,
GLENHAZEL,11,Theft,10,Theft:10; Stolen and recovered:1,March,Friday,22,1363822.95,123983.9,0,0.0571428571428571,0.1276030159986051,0.0924,False,,,,,,,,,,,
BLOUBERGSTRAND,14,Theft,14,Theft:14,December,Friday,17,1041274.25,74376.73,0,0.0857142857142857,0.0965878542090707,0.0912,False,,,,,,,,,,,
FLORA PARK,17,Theft,17,Theft:17,March,Thursday,3,739405.38,43494.43,0,0.1142857142857142,0.0675611929877608,0.0909,False,,,,,,,,,,,
MEYERSDAL,11,Theft,10,Theft:10; Stolen and recovered:1,November,Wednesday,14,1325958.57,120541.69,0,0.0571428571428571,0.1239621088371116,0.0906,False,,,,,,,,,,,
VINCENT,18,Theft,18,Theft:18,July,Sunday,10,623637.0,34646.5,0,0.1238095238095238,0.056429307986171,0.0901,False,,,,,,,,,,,
AUCKLAND PARK,10,Theft,6,Theft:6; Hijack:2; Stolen and recovered:2,July,Wednesday,14,1406717.14,140671.71,0,0.0476190476190476,0.1317275722057174,0.0897,False,,,,,,,,,,,
VALHALLA,12,Theft,12,Theft:12,May,Wednesday,3,1181560.98,98463.42,0,0.0666666666666666,0.1100773385191136,0.0884,False,,,,,,,,,,,
KEMPTON PARK,17,Theft,17,Theft:17,May,Saturday,16,683578.25,40210.49,0,0.1142857142857142,0.0621930502260775,0.0882,False,,,,,,,,,,,
EDENBURG,12,Theft,12,Theft:12,December,Sunday,19,1171709.69,97642.47,0,0.0666666666666666,0.1091300727165057,0.0879,False,,,,,,,,,,,
VANDERBIJLPARK S. W. 5,12,Theft,12,Theft:12,July,Friday,13,1171287.25,97607.27,0,0.0666666666666666,0.1090894523545375,0.0879,False,,,,,,,,,,,
DURBAN BEACH,13,Theft,13,Theft:13,May,Wednesday,14,1064260.55,81866.2,0,0.0761904761904762,0.0987981369150397,0.0875,False,,,,,,,,,,,
LORRAINE,18,Theft,18,Theft:18,August,Tuesday,16,570145.82,31674.77,0,0.1238095238095238,0.0512857820565576,0.0875,False,,,,,,,,,,,
SELBORNE,5,Theft,5,Theft:5,July,Saturday,0,1848845.27,369769.05,0,0.0,0.1742410763173579,0.0871,False,,,,,,,,,,,
MOUNT VERNON,7,Theft,7,Theft:7,November,Thursday,21,1644441.18,234920.17,0,0.019047619047619,0.1545862895462671,0.0868,False,,,,,,,,,,,
GALLO MANOR,10,Theft,6,Theft:6; Burglary:2; Armed Robbery:1; Hijack:1,September,Wednesday,15,1324451.76,132445.18,0,0.0476190476190476,0.1238172192252915,0.0857,False,,,,,,,,,,,
LYNNWOOD RIDGE,14,Theft,13,Theft:13; Stolen and recovered:1,January,Friday,13,917201.9,65514.42,0,0.0857142857142857,0.0846574883174775,0.0852,False,,,,,,,,,,,
PHILIPPI,17,Theft,7,Theft:7; Hijack:6; Armed Robbery:4,August,Saturday,12,609580.88,40638.73,2,0.1142857142857142,0.0550777203470545,0.0847,False,,,,,,,,,,,
WILLOWBROOK,6,Theft,5,Theft:5; Armed Robbery:1,December,Sunday,18,1692746.07,338549.21,1,0.0095238095238095,0.1592311198573974,0.0844,False,,,,,,,,,,,
WELLINGTON,19,Theft,17,Theft:17; Burglary:2,November,Tuesday,8,400835.93,21096.63,0,0.1333333333333333,0.035005531567505,0.0842,False,,,,,,,,,,,
MULBARTON,14,Theft,14,Theft:14,December,Saturday,3,884404.25,63171.73,0,0.0857142857142857,0.0815037803004664,0.0836,False,,,,,,,,,,,
MARLBORO GARDENS,7,Hijack,6,Hijack:6; Armed Robbery:1,February,Wednesday,19,1572383.13,224626.16,0,0.019047619047619,0.1476574379372283,0.0834,False,,,,,,,,,,,
RADIOKOP,14,Theft,14,Theft:14,September,Wednesday,18,874273.01,62448.07,0,0.0857142857142857,0.0805295954789848,0.0831,False,,,,,,,,,,,
STELLENBOSCH NU,17,Theft,14,Theft:14; Armed Robbery:1; Windscreen/ Motor glass damage:1; Remote jamming:1,July,Friday,0,570403.57,33553.15,0,0.1142857142857142,0.0513105664006,0.0828,False,,,,,,,,,,,
WENTWORTH,10,Theft,9,Theft:9; Hijack:1,July,Saturday,5,1262323.99,126232.4,0,0.0476190476190476,0.1178432288226857,0.0827,False,,,,,,,,,,,
KNYSNA,18,Theft,17,Theft:17; Armed Robbery:1,December,Sunday,7,465089.95,25838.33,0,0.1238095238095238,0.041183974779113,0.0825,False,,,,,,,,,,,
WEST ACRES,18,Theft,17,Theft:17; Burglary:1,May,Thursday,0,458636.86,25479.83,0,0.1238095238095238,0.0405634680761177,0.0822,False,,,,,,,,,,,
BIRCHLEIGH,10,Theft,9,Theft:9; Burglary:1,July,Wednesday,11,1240941.98,124094.2,0,0.0476190476190476,0.1157872090664894,0.0817,False,,,,,,,,,,,
MAMELODI,8,Hijack,5,Hijack:5; Theft:3,July,Friday,22,1421748.72,177718.59,0,0.0285714285714285,0.1331729566876649,0.0809,False,,,,,,,,,,,
OLIVEDALE,12,Theft,12,Theft:12,June,Wednesday,1,1010462.61,84205.22,0,0.0666666666666666,0.0936251140101461,0.0801,False,,,,,,,,,,,
PIETERMARITZBURG,16,Theft,15,Theft:15; Hijack:1,October,Friday,15,585603.85,36600.24,0,0.1047619047619047,0.0527721724881342,0.0788,False,,,,,,,,,,,
RIVIERA,12,Theft,11,Theft:11; Armed Robbery:1,January,Tuesday,18,979867.08,81655.59,0,0.0666666666666666,0.0906831541976075,0.0787,False,,,,,,,,,,,
